City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Kailua,US,2020-04-15 14:30:44,21.4,-157.74,77.0,69,75,10.29
126,San Joaquin,VE,2020-04-15 14:30:44,10.26,-67.79,80.82,49,8,5.79
127,Nouadhibou,MR,2020-04-15 14:26:55,20.93,-17.03,73.4,56,3,16.11
128,Batagay-Alyta,RU,2020-04-15 14:30:45,67.8,130.41,-2.76,79,87,3.6
129,Akyab,MM,2020-04-15 14:30:45,20.15,92.9,80.15,81,0,5.61
130,Honiara,SB,2020-04-15 14:30:45,-9.43,159.95,77.0,100,40,3.36
131,Ponta Do Sol,PT,2020-04-15 14:26:40,32.67,-17.1,69.8,60,40,29.97
132,Bud,US,2020-04-15 14:26:39,39.45,-86.18,46.99,41,1,14.99
133,Santa Helena,BR,2020-04-15 14:30:46,-2.23,-45.3,88.3,62,98,0.72
134,Yellowknife,CA,2020-04-15 14:29:35,62.46,-114.35,19.0,84,40,3.36
135,Namibe,AO,2020-04-15 14:30:47,-15.2,12.15,82.4,65,20,11.41
136,Muros,ES,2020-04-15 14:27:13,42.78,-9.06,64.99,63,40,11.41
137,Saint George,US,2020-04-15 14:29:35,37.1,-113.58,45.0,48,1,4.7
138,Esperance,AU,2020-04-15 14:30:48,-33.87,121.9,59.0,87,90,4.7
139,Tuktoyaktuk,CA,2020-04-15 14:30:48,69.45,-133.04,23.0,79,75,13.87
140,Wuwei,CN,2020-04-15 14:30:48,37.93,102.64,61.0,25,55,1.01
141,Manthani,IN,2020-04-15 14:30:49,18.65,79.67,93.36,19,28,4.21
142,Ballina,AU,2020-04-15 14:26:42,-28.87,153.57,64.99,93,0,3.36
143,Constitucion,CL,2020-04-15 14:30:49,-35.33,-72.42,62.96,46,100,1.7
144,Nikolskoye,RU,2020-04-15 14:30:49,59.7,30.79,41.0,65,75,8.95
145,Khandyga,RU,2020-04-15 14:30:50,62.67,135.6,21.16,94,100,6.69
146,Hambantota,LK,2020-04-15 14:30:50,6.12,81.12,83.28,76,50,6.29
147,Santa Rosa,PH,2020-04-15 14:30:50,14.31,121.11,82.99,78,20,2.24
148,Berdigestyakh,RU,2020-04-15 14:30:50,62.1,126.7,14.81,91,80,9.31
149,Yulara,AU,2020-04-15 14:27:23,-25.24,130.99,68.0,20,21,6.6
150,Port Elizabeth,ZA,2020-04-15 14:28:24,-33.92,25.57,69.8,68,32,8.05
151,Bhandara,IN,2020-04-15 14:30:51,21.17,79.65,91.4,29,40,5.82
152,Ostrovnoy,RU,2020-04-15 14:30:51,68.05,39.51,33.37,95,100,1.9
153,Souillac,MU,2020-04-15 14:30:51,-20.52,57.52,78.8,78,75,13.87
154,Debre Zeyit,ET,2020-04-15 14:30:52,8.75,38.98,75.2,38,40,11.41
155,Vestmannaeyjar,IS,2020-04-15 14:27:55,63.44,-20.27,42.8,60,20,25.28
156,Butaritari,KI,2020-04-15 14:26:52,3.07,172.79,82.72,81,100,15.57
157,Miles City,US,2020-04-15 14:30:53,46.41,-105.84,36.0,68,90,6.93
158,Visby,SE,2020-04-15 14:30:53,57.64,18.3,60.01,57,24,9.17
159,Upernavik,GL,2020-04-15 14:30:53,72.79,-56.15,20.39,87,0,5.46
160,Amahai,ID,2020-04-15 14:30:54,-3.33,128.92,79.3,80,72,3.04
161,Homer,US,2020-04-15 14:30:54,59.64,-151.55,42.01,93,90,3.36
162,Trairi,BR,2020-04-15 14:29:25,-3.28,-39.27,84.16,72,68,0.83
163,Laon,FR,2020-04-15 14:30:55,49.57,3.67,66.2,25,15,10.29
164,Changji,CN,2020-04-15 14:30:55,44.02,87.32,64.4,42,40,6.71
165,Sept-Iles,CA,2020-04-15 14:30:55,50.2,-66.38,35.6,55,20,14.99
166,Nanortalik,GL,2020-04-15 14:30:55,60.14,-45.24,36.64,92,100,18.99
167,Salta,AR,2020-04-15 14:30:56,-24.79,-65.41,64.4,87,40,2.24
